series_title,imdb_rating,age_of_series,r_rated,no_of_seasons,sentiment,multiple_platforms,netflix,hulu,prime_video,true_crime,world_war,award_winning,serial_killer,emmy_award,love,genre_gameshow,genre_animation,genre_children,genre_crime,genre_drama,genre_anime,genre_comedy,genre_documentary,genre_reality,genre_fiction,genre_actionadventure,genre_homegarden,genre_standuptalk
The Game,6.7,14,0,9,0.8519,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Thirteen,7.3,4,1,1,0.7002,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Belgravia,7.5,0,0,1,-0.1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Frankenstein Chronicles,7.3,5,0,2,-0.2023,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Creepshow,7.0,1,1,1,-0.6133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Digimon Adventure,7.3,21,0,5,0.6808,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Unforgotten,8.2,5,1,3,-0.0258,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
The Andy Griffith Show,8.3,60,0,8,0.9761,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Monster Musume: Everyday Life with Monster Girls,6.7,3,1,1,0.9382,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
America's Next Top Model,5.5,17,0,24,0.6369,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Saint Seiya,8.5,34,0,12,-0.1531,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
The Pillars of the Earth,8.1,10,1,1,-0.886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rugrats,7.4,29,0,9,0.5688,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Shameless,8.0,16,1,11,0.4217,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Anthony Bourdain: Parts Unknown,8.8,7,0,12,-0.0516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Airwolf,6.7,36,0,4,0.4173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Bonding,7.2,1,0,1,0.7297,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FLCL,8.2,20,1,3,-0.2854,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Explained,8.1,2,0,2,-0.296,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Flesh and Bone,8.0,5,0,1,-0.8779,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
No. 6,7.4,9,0,1,-0.9379,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
The Eric Andre Show,8.6,8,1,4,0.5859,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Hung,7.1,11,1,3,-0.2773,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Private Practice,6.6,13,0,6,0.9501,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
My Little Monster,7.3,8,0,1,0.9655,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
The Path,7.3,4,1,3,0.7783,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Overlord,7.8,5,1,3,0.517,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
21 Jump Street,7.2,33,0,5,0.8905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Little America,7.2,0,0,1,0.9468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Young & Hungry,7.4,6,0,5,0.9648,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Togetherness,7.5,5,1,2,0.3804,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
My Teen Romantic Comedy SNAFU,7.8,7,0,3,0.8584,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
All American,7.7,2,0,2,0.7264,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Collateral,6.7,2,0,1,-0.9442,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Jett,7.4,1,1,1,-0.8445,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Pan Am,7.0,9,0,1,0.8826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mrs. Fletcher,7.0,1,1,1,0.8225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
On Becoming a God in Central Florida,7.2,1,1,1,0.5267,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Diabolik Lovers,5.3,7,0,2,0.8834,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Murdoch Mysteries,8.1,12,0,15,-0.4404,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
She,6.5,0,1,1,-0.8074,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
When They Cry,8.0,14,1,3,-0.9337,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Legit,8.2,7,1,2,0.2006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Gordon Ramsay: Uncharted,7.8,1,0,2,0.5994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Avenue 5,6.5,0,1,1,-0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Battle Creek,7.3,5,0,1,-0.1155,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
The New Batman Adventures,8.5,23,0,2,0.9524,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Trapped,8.1,5,0,2,-0.9118,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
I Think You Should Leave with Tim Robinson,7.7,1,1,1,0.101,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2 Broke Girls,6.7,9,0,6,0.7906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Itaewon Class,8.2,0,0,1,0.7003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Friday Night Dinner,8.1,9,1,6,0.5994,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Black Summer,6.4,1,1,1,0.8625,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
The Tick,7.8,19,0,1,0.8008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Kim's Convenience,8.1,4,1,4,0.0018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
American Gothic,8.1,25,0,1,-0.4404,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Aquarius,7.1,5,0,2,-0.7906,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Are You Afraid of the Dark?,8.2,28,0,7,0.4696,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Batman: The Brave and the Bold,7.3,12,0,3,0.9847,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Star vs. the Forces of Evil,8.0,5,0,5,-0.8742,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Everything's Gonna Be Okay,7.2,0,0,1,0.8382,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Broken,8.1,3,1,1,-0.6908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Dawson's Creek,6.6,22,0,6,0.2732,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30 for 30,8.8,11,0,5,0.0516,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Perry Mason,8.2,63,0,9,-0.8516,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Yu-Gi-Oh! GX,6.7,16,0,4,0.9574,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Swamp Thing,7.6,1,1,1,-0.9274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Blood Drive,7.3,3,1,1,-0.8442,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Das Boot,7.4,2,0,2,0.7783,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Life in Pieces,8.0,5,0,4,0.8641,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Tin Star,7.3,3,1,2,-0.7783,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Extant,6.6,6,0,2,-0.0516,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Who's the Boss?,6.5,36,0,8,0.746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Transformers: Prime,7.9,10,0,4,-0.6705,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1983,6.8,2,1,1,-0.967,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Ragnarok,7.5,0,1,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WWE Raw,7.8,27,0,62,0.836,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Circle,7.4,0,1,1,0.0772,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Life Unexpected,7.5,10,0,2,-0.2263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Angie Tribeca,7.0,4,0,4,-0.5267,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
I Dream of Jeannie,7.4,55,0,5,0.9522,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
When Calls the Heart,8.2,6,0,7,0.9231,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jane Eyre,8.3,14,0,1,0.5859,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Beavis and Butt-head,7.5,27,0,9,0.6705,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Ghost Adventures,7.5,12,0,23,0.0258,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Tell Me a Story,7.2,2,1,2,0.6801,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
The Long Road Home,7.5,3,1,1,-0.5106,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Vera,7.9,9,0,10,-0.91,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Inspector Morse,8.1,33,0,12,-0.7003,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Stateless,7.5,0,0,1,-0.1531,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cardinal,7.7,3,0,4,-0.8402,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
10 Things I Hate About You,7.3,11,0,1,0.5729,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Grim Adventures of Billy and Mandy,7.7,19,0,7,-0.8779,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Queen Sugar,7.6,4,0,4,0.4927,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Challenge,7.6,22,0,35,0.9022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Emerald City,7.2,3,0,1,-0.1264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Foyle's War,8.4,18,0,10,-0.9823,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
S.W.A.T.,7.0,3,0,3,0.6705,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
We Bare Bears,7.9,5,0,4,0.8979,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Happy Days,7.4,46,0,11,0.802,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Fearless,7.6,3,1,1,-0.8591,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Wolverine and the X-Men,8.0,12,0,1,0.4588,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
The Ren & Stimpy Show,7.5,28,0,5,0.7184,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Home Fires,8.2,5,0,2,0.2716,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
LEGO Ninjago: Masters of Spinjitzu,6.9,8,0,13,0.7964,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Carmen Sandiego,7.9,1,0,2,0.7425,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Bad Blood,7.5,3,1,2,-0.8834,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Dublin Murders,7.1,1,1,1,-0.9844,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
My Next Guest Needs No Introduction With David Letterman,7.9,2,1,2,-0.296,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Ordinary Family,6.9,10,0,1,0.9114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Stranger,8.6,3,0,2,-0.7351,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Assassination Classroom,8.0,5,0,3,-0.8077,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Dear White People,6.3,3,0,3,0.6697,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Martin,7.4,28,0,5,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
The New Pope,8.2,0,1,1,0.2484,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Black Monday,7.4,1,1,2,0.3182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Tidelands,7.0,2,1,1,-0.8402,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Beast Wars: Transformers,8.1,24,0,3,-0.7522,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Noragami,7.9,6,0,2,0.5106,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Shrill,7.4,1,1,2,0.0772,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Little Voice,6.9,0,1,1,0.9081,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Olive Kitteridge,8.3,6,1,1,-0.6663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Maid Sama!,8.0,10,0,1,0.3887,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Dynasty,7.3,3,0,3,0.8858,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hard Knocks,8.5,19,0,15,-0.296,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sherlock Holmes,8.7,36,0,7,0.7845,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
We're Here,8.2,0,1,1,-0.5118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Trust,7.5,2,1,1,0.6705,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Pawn Stars,7.2,11,0,31,0.7579,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
KonoSuba – God’s blessing on this wonderful world!!,7.8,4,0,2,0.9877,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Miss Fisher's Murder Mysteries,8.3,8,0,3,-0.9405,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Drawn Together,7.0,16,1,3,0.9749,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Kill la Kill,7.9,7,1,2,-0.9468,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Space: 1999,7.3,45,0,2,0.4549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Dracula,7.4,7,1,1,-0.5908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Coffee Prince,8.2,13,0,1,0.3353,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
No Game No Life,7.8,6,0,1,0.7571,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Breeders,7.2,0,1,1,0.836,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Baby Daddy,7.4,8,0,6,0.9349,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Hustle,8.1,16,0,8,0.25,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Kill Me, Heal Me",8.3,5,0,1,-0.9608,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Gypsy,6.9,3,1,1,-0.7363,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jeeves and Wooster,8.4,30,0,4,0.9042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Highschool of the Dead,7.2,10,1,1,-0.8126,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
The L.A. Complex,7.1,8,0,2,0.8636,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Flint Town,7.9,2,1,1,-0.6605,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
My Little Pony: Friendship Is Magic,7.6,10,0,10,0.992,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Leave It to Beaver,7.5,63,0,6,0.9551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Vanity Fair,7.3,2,0,1,0.7788,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
The Take,7.8,11,1,1,-0.6395,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Ghosts,7.8,1,0,1,0.4391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mum,8.2,4,0,3,0.7089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Brothers and Sisters,7.3,14,0,5,0.0772,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Great News,7.0,3,0,2,0.8519,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Victorious,6.9,10,0,4,0.765,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
X-Men: Evolution,7.9,20,0,4,0.8415,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
The Night Shift,7.4,6,0,4,0.742,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Watership Down,7.2,2,0,1,-0.3612,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Grantchester,7.9,6,0,5,-0.204,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Sinatra: All or Nothing at All,8.0,5,0,1,-0.1548,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
El Chapo,7.8,3,0,3,-0.7269,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Mary Kills People,7.5,3,1,3,-0.9819,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Too Old to Die Young,7.4,1,1,1,-0.975,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Fruits Basket,8.4,1,0,2,0.7379,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Indian Matchmaking,6.2,0,0,1,0.0516,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Guild,8.2,13,0,6,0.9001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Inside Bill's Brain: Decoding Bill Gates,7.9,1,0,1,-0.5994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Chalet,7.0,2,1,1,-0.6378,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Test: A New Era For Australia's Team,9.0,0,0,1,0.1531,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Get Down,8.3,4,0,2,0.7184,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
I'm Alan Partridge,8.5,23,1,2,0.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Heroes Reborn,6.7,5,0,1,0.9359,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Penny Dreadful: City of Angels,6.0,0,1,1,-0.8957,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Special,7.6,1,1,1,-0.2516,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Magic City,7.6,8,1,2,0.6801,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
The Protector,6.8,2,1,4,0.4767,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Leah Remini: Scientology and the Aftermath,9.1,4,0,3,-0.4404,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
While You Were Sleeping,8.4,3,0,1,0.8225,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penn & Teller: Fool Us,8.1,9,0,7,-0.34,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Mad Dogs,7.5,5,1,1,0.3612,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
The Event,7.0,10,0,1,-0.5719,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Ramayan,9.2,33,0,2,0.7778,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Informer,7.9,2,0,1,-0.8074,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Star Trek: The Animated Series,7.5,47,0,2,0.9854,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Siren,7.0,2,0,3,-0.2944,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Irregular at Magic High School,7.3,6,0,1,0.9052,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
The Avengers: Earth's Mightiest Heroes,8.3,10,0,2,0.9197,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Given,8.3,1,0,1,0.3774,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Teenage Mutant Ninja Turtles,7.8,8,0,5,-0.7777,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Saved by the Bell,7.0,31,0,5,0.968,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Our Boys,7.4,1,1,1,-0.8319,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Fist of the North Star,8.3,36,1,6,-0.1236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Love is Blind,6.0,0,0,1,0.3818,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Drop Dead Diva,7.4,11,0,6,-0.7003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Breathe,8.4,2,1,2,-0.9566,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Silent Witness,7.8,24,0,23,-0.8316,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Camelot,6.5,9,1,1,0.048,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Beverly Hills, 90210",6.3,30,0,10,-0.0258,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
